trip_id,arrival_time,stop_id,sequence_id,departure_time
SK_16,2023-03-21 10:09:00,S_13,12,2023-03-21 10:09:00
SK_16,2023-03-21 10:13:00,S_14,13,2023-03-21 10:13:00
SK_16,2023-03-21 10:23:00,S_15,14,2023-03-21 10:23:00
SK_17,2023-03-21 09:10:00,S_1,0,2023-03-21 09:10:00
SK_17,2023-03-21 09:13:00,S_2,1,2023-03-21 09:13:00
SK_17,2023-03-21 09:16:00,S_3,2,2023-03-21 09:16:00
SK_17,2023-03-21 09:22:00,S_4,3,2023-03-21 09:22:00
SK_17,2023-03-21 09:27:00,S_5,4,2023-03-21 09:27:00
SK_17,2023-03-21 09:31:00,S_6,5,2023-03-21 09:31:00
SK_17,2023-03-21 09:37:00,S_7,6,2023-03-21 09:37:00
SK_17,2023-03-21 09:41:00,S_8,7,2023-03-21 09:41:00
SK_17,2023-03-21 09:48:00,S_9,8,2023-03-21 09:48:00
SK_17,2023-03-21 09:54:00,S_10,9,2023-03-21 09:54:00
SK_17,2023-03-21 10:03:00,S_11,10,2023-03-21 10:03:00
SK_17,2023-03-21 10:11:00,S_12,11,2023-03-21 10:11:00
SK_17,2023-03-21 10:19:00,S_13,12,2023-03-21 10:19:00
SK_17,2023-03-21 10:23:00,S_14,13,2023-03-21 10:23:00
SK_17,2023-03-21 10:33:00,S_15,14,2023-03-21 10:33:00
SK_18,2023-03-21 09:20:00,S_1,0,2023-03-21 09:20:00
SK_18,2023-03-21 09:23:00,S_2,1,2023-03-21 09:23:00
SK_18,2023-03-21 09:26:00,S_3,2,2023-03-21 09:26:00
SK_18,2023-03-21 09:32:00,S_4,3,2023-03-21 09:32:00
SK_18,2023-03-21 09:37:00,S_5,4,2023-03-21 09:37:00
SK_18,2023-03-21 09:41:00,S_6,5,2023-03-21 09:41:00
SK_18,2023-03-21 09:47:00,S_7,6,2023-03-21 09:47:00
SK_18,2023-03-21 09:51:00,S_8,7,2023-03-21 09:51:00
SK_18,2023-03-21 09:58:00,S_9,8,2023-03-21 09:58:00
SK_18,2023-03-21 10:04:00,S_10,9,2023-03-21 10:04:00
SK_18,2023-03-21 10:13:00,S_11,10,2023-03-21 10:13:00
SK_18,2023-03-21 10:21:00,S_12,11,2023-03-21 10:21:00
SK_18,2023-03-21 10:29:00,S_13,12,2023-03-21 10:29:00
SK_18,2023-03-21 10:33:00,S_14,13,2023-03-21 10:33:00
SK_18,2023-03-21 10:43:00,S_15,14,2023-03-21 10:43:00
SK_19,2023-03-21 09:30:00,S_1,0,2023-03-21 09:30:00
